quote,source
"The universe is big. It's vast and complicated and ridiculous. And sometimes, very rarely, impossible things just happen and we call them miracles.",The Doctor
"Remember me, though I have to say goodbye.",Coco
Thanks for the adventure. Now go have a new one,Up
"In case I don't see ya, good afternoon, good evening, and good night",The Truman Show
"Sometimes life knocks you down, but you can always get back up.",Inside Out
A woman's heart is a deep ocean of secrets.,Titanic
"I've been thinking about my life, and how everything led me to this moment.",This Is Us
A man tells his stories so many times that he becomes the stories. They live on after him,Big Fish
We each owe a death. There are no exceptions.,Green Mile
The past is just a story we tell ourselves.,Her
"I'm tired, boss. Tired of being on the road, lonely as a sparrow in the rain.",Green Mile
"I think that's the point, though. To not need it and get it anyway",Bojack Horseman
To feel nothing so as not to feel anything—what a waste.,Call Me By Your Name
Some infinities are bigger than other infinities.,The Fault in Our Stars
Genius is no guarantee of wisdom,Oppenheimer
You don't get to commit the sin and then feel guilty about it,Oppenheimer
"You didn't have to be right, you just had to be first",Oppenheimer
"People don't forgive, they just forget",Oppenheimer
